Id,Date,TotalSteps,TotalDistancePerDay,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-04-12,13162,8.50,0.00,1.88,0.55,6.06,0.00,25.00,13.00,328.00,728,1985
1624580081,2016-04-12,8163,5.31,0.00,0.00,0.00,5.31,0.00,0.00,0.00,146.00,1294,1432
1644430081,2016-04-12,10694,7.77,0.00,0.14,2.30,5.33,0.00,2.00,51.00,256.00,1131,3199
1844505072,2016-04-12,6697,4.43,0.00,0.00,0.00,4.43,0.00,0.00,0.00,339.00,1101,2030
1927972279,2016-04-12,678,0.47,0.00,0.00,0.00,0.47,0.00,0.00,0.00,55.00,734,2220
2022484408,2016-04-12,11875,8.34,0.00,3.31,0.77,4.26,0.00,42.00,14.00,227.00,1157,2390
2026352035,2016-04-12,4414,2.74,0.00,0.19,0.35,2.20,0.00,3.00,8.00,181.00,706,1459
2320127002,2016-04-12,10725,7.49,0.00,1.17,0.31,6.01,0.00,13.00,9.00,306.00,1112,2124
2347167796,2016-04-12,10113,6.83,0.00,2.00,0.62,4.20,0.00,28.00,13.00,320.00,964,2344
2873212765,2016-04-12,8796,5.91,0.00,0.11,0.93,4.88,0.00,2.00,21.00,356.00,1061,1982
3372868164,2016-04-12,4747,3.24,0.00,0.00,0.00,3.23,0.01,0.00,0.00,280.00,1160,1788
3977333714,2016-04-12,8856,5.98,0.00,3.06,0.91,2.01,0.00,44.00,19.00,131.00,777,1450
4020332650,2016-04-12,8539,6.12,0.00,0.15,0.24,5.68,0.00,4.00,15.00,331.00,712,3654
4057192912,2016-04-12,5394,4.03,0.00,0.00,0.00,3.94,0.00,0.00,0.00,164.00,1276,2286
4319703577,2016-04-12,7753,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440,2115
4388161847,2016-04-12,10122,7.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440,2955
4445114986,2016-04-12,3276,2.20,0.00,0.00,0.00,2.20,0.00,0.00,0.00,196.00,787,2113
4558609924,2016-04-12,5135,3.39,0.00,0.00,0.00,3.39,0.00,0.00,0.00,318.00,1122,1909
4702921684,2016-04-12,7213,5.88,0.00,0.00,0.00,5.85,0.00,0.00,0.00,263.00,718,2947
5553957443,2016-04-12,11596,7.57,0.00,1.37,0.79,5.41,0.00,19.00,13.00,277.00,767,2026
5577150313,2016-04-12,8135,6.08,0.00,3.60,0.38,2.10,0.00,86.00,16.00,140.00,728,3405
6117666160,2016-04-12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440,1496
6290855005,2016-04-12,4562,3.45,0.00,0.00,0.00,3.45,0.00,0.00,0.00,199.00,1241,2560
6775888955,2016-04-12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440,1841
6962181067,2016-04-12,10199,6.74,0.00,3.40,0.83,2.51,0.00,50.00,14.00,189.00,796,1994
7007744171,2016-04-12,14172,10.29,4.87,4.50,0.38,5.41,0.00,53.00,8.00,355.00,1024,2937
7086361926,2016-04-12,11317,8.41,0.00,5.27,0.15,2.97,0.00,59.00,6.00,153.00,745,2772
8053475328,2016-04-12,18060,14.12,0.00,11.64,0.39,2.10,0.00,116.00,8.00,123.00,1193,3186
8253242879,2016-04-12,9033,7.16,0.00,5.43,0.14,1.59,0.00,40.00,2.00,154.00,1244,2044
8378563200,2016-04-12,7626,6.05,2.25,0.83,0.71,4.50,0.00,65.00,15.00,156.00,723,3635
8583815059,2016-04-12,5014,3.91,0.00,0.00,0.33,3.58,0.00,0.00,7.00,196.00,1237,2650
8792009665,2016-04-12,2564,1.64,0.00,0.00,0.00,1.64,0.00,0.00,0.00,116.00,831,2044
8877689391,2016-04-12,23186,20.40,0.00,12.22,0.34,7.82,0.00,85.00,7.00,312.00,1036,3921
1503960366,2016-04-13,10735,6.97,0.00,1.57,0.69,4.71,0.00,21.00,19.00,217.00,776,1797
1624580081,2016-04-13,7007,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,148.00,1292,1411
1644430081,2016-04-13,8001,5.82,0.00,2.28,0.90,2.64,0.00,30.00,16.00,135.00,1259,2902
1844505072,2016-04-13,4929,3.26,0.00,0.00,0.00,3.26,0.00,0.00,0.00,248.00,1192,1860
1927972279,2016-04-13,356,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,32.00,986,2151
2022484408,2016-04-13,12024,8.50,0.00,2.99,0.10,5.41,0.00,43.00,5.00,292.00,1100,2601
2026352035,2016-04-13,4993,3.10,0.00,0.00,0.00,3.10,0.00,0.00,0.00,238.00,663,1521
2320127002,2016-04-13,7275,4.90,0.00,0.00,0.00,4.90,0.00,0.00,0.00,335.00,1105,2003
2347167796,2016-04-13,10352,7.01,0.00,1.66,1.94,3.41,0.00,19.00,32.00,195.00,676,2038
2873212765,2016-04-13,7618,5.12,0.00,0.00,0.22,4.88,0.02,0.00,8.00,404.00,1028,2004
3372868164,2016-04-13,9715,6.63,0.00,0.99,0.34,5.27,0.02,16.00,8.00,371.00,1045,2093
3977333714,2016-04-13,10035,6.71,0.00,2.03,2.13,2.55,0.00,31.00,46.00,153.00,754,1495
4020332650,2016-04-13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440,1981
4057192912,2016-04-13,5974,4.47,0.00,0.00,0.00,4.37,0.00,0.00,0.00,160.00,1280,2306
4319703577,2016-04-13,8204,5.50,0.00,0.53,0.59,1.31,0.00,8.00,15.00,96.00,1234,2135
4388161847,2016-04-13,10993,8.45,0.00,0.06,0.63,3.88,0.00,1.00,14.00,150.00,1275,3092
4445114986,2016-04-13,2961,1.99,0.00,0.00,0.00,1.99,0.00,0.00,0.00,194.00,840,2095
4558609924,2016-04-13,4978,3.29,0.00,1.24,0.44,1.61,0.00,19.00,7.00,127.00,1287,1722
4702921684,2016-04-13,6877,5.58,0.00,0.00,0.00,5.58,0.00,0.00,0.00,258.00,777,2898
5553957443,2016-04-13,4832,3.16,0.00,0.00,0.00,3.16,0.00,0.00,0.00,226.00,647,1718
5577150313,2016-04-13,5077,3.79,0.00,0.32,0.22,3.25,0.00,15.00,11.00,144.00,776,2551
